sampleNumber,etfCode,name,grade,readinessScore,selectionPhase,selectionReasons,issuer,benchmarkName,rawTypeText,topHoldings,currentTagIds,currentTagLabels,lowConfidenceTagIds,missingFields,decision,correctedTagIds,reviewNote,reviewer,reviewedAt
11,132030,KODEX 골드선물(H),B,55,ready_core,준비도 B등급(55점),삼성자산운용(주),S&P GSCI Gold Index(TR),해외상품,,asset.commodity|region.domestic_kr|strategy.passive_index,원자재|국내|지수추종(패시브),,상품 설명·투자 목적|구성종목|산업·국가 비중|실제 분배금 이력,,,,,
12,145670,ACE 인버스,B,57,ready_core,준비도 B등급(57점),,코스피 200 선물지수,,KODEX 인버스 17.13%|TIGER 인버스 0.14%,strategy.inverse|asset.equity|region.domestic_kr|strategy.passive_index,인버스|주식|국내|지수추종(패시브),,운용사|상품 설명·투자 목적|산업·국가 비중|분배 일정|실제 분배금 이력,,,,,
13,152500,ACE 레버리지,B,57,ready_core,준비도 B등급(57점),,코스피 200,,삼성전자 23.04%|SK하이닉스 19.61%|KODEX 레버리지 9.88%|SK스퀘어 2.05%|삼성전기 1.38%|현대차 1.17%|KB금융 1.14%|ACE 200 0.99%|신한지주 0.86%|기아 0.67%,strategy.leverage|asset.equity|region.domestic_kr|strategy.passive_index,레버리지|주식|국내|지수추종(패시브),,운용사|상품 설명·투자 목적|산업·국가 비중|분배 일정|실제 분배금 이력,,,,,
14,166400,TIGER 200커버드콜OTM,B,57,ready_core,준비도 B등급(57점),,코스피 200 커버드콜 5% OTM,,삼성전자 25.03%|SK하이닉스 21.58%|TIGER 200 8.95%|SK스퀘어 2.28%|삼성전기 1.53%|TIGER 200TR 1.48%|현대차 1.28%|KB금융 1.2%|신한지주 0.94%|삼성물산 0.74%,dividend.covered_call|asset.equity|region.domestic_kr|strategy.passive_index,커버드콜 배당|주식|국내|지수추종(패시브),,운용사|상품 설명·투자 목적|산업·국가 비중|분배 일정|실제 분배금 이력,,,,,
15,225800,KIWOOM 미국달러선물레버리지,B,57,ready_core,준비도 B등급(57점),,미국달러선물지수,,KIWOOM 미국달러선물 21.39%,strategy.leverage|asset.currency|region.us|strategy.passive_index,레버리지|통화/환|미국|지수추종(패시브),,운용사|상품 설명·투자 목적|산업·국가 비중|분배 일정|실제 분배금 이력,,,,,
16,230480,KIWOOM 미국달러선물인버스2X,B,57,ready_core,준비도 B등급(57점),,미국달러선물지수,,KIWOOM 미국달러선물인버스 19.27%,strategy.leverage|strategy.inverse|asset.currency|region.us|strategy.passive_index,레버리지|인버스|통화/환|미국|지수추종(패시브),,운용사|상품 설명·투자 목적|산업·국가 비중|분배 일정|실제 분배금 이력,,,,,
17,233160,TIGER 코스닥150 레버리지,B,57,ready_core,준비도 B등급(57점),,코스닥 150,,TIGER 코스닥150 23.46%|알테오젠 6.08%|에코프로 3.83%|에코프로비엠 3.03%|주성엔지니어링 2.66%|원익IPS 1.92%|피에스케이 1.72%|리노공업 1.69%|에이비엘바이오 1.54%|레인보우로보틱스 1.48%,strategy.leverage|asset.equity|region.domestic_kr|strategy.passive_index,레버리지|주식|국내|지수추종(패시브),,운용사|상품 설명·투자 목적|산업·국가 비중|분배 일정|실제 분배금 이력,,,,,
18,233740,KODEX 코스닥150레버리지,B,57,ready_core,준비도 B등급(57점),,코스닥 150,,KODEX 코스닥150 27.04%|알테오젠 4.98%|에코프로 3.16%|에코프로비엠 2.48%|주성엔지니어링 2.19%|원익IPS 1.58%|피에스케이 1.39%|리노공업 1.39%|에이비엘바이오 1.26%|레인보우로보틱스 1.23%,strategy.leverage|asset.equity|region.domestic_kr|strategy.passive_index,레버리지|주식|국내|지수추종(패시브),,운용사|상품 설명·투자 목적|산업·국가 비중|분배 일정|실제 분배금 이력,,,,,
19,243880,TIGER 200IT레버리지,B,57,ready_core,준비도 B등급(57점),,코스피 200 정보기술,,SK스퀘어 37.17%|SK하이닉스 36.47%|삼성전자 27.86%|삼성전기 24.52%|TIGER 200 IT 15.05%|삼성SDI 8.55%|LG전자 6.42%|LG이노텍 3.02%|LG 2.85%|한미반도체 2.77%,strategy.leverage|sector.semiconductor|asset.equity|region.domestic_kr|strategy.passive_index,레버리지|반도체|주식|국내|지수추종(패시브),,운용사|상품 설명·투자 목적|산업·국가 비중|분배 일정|실제 분배금 이력,,,,,
20,243890,TIGER 200에너지화학레버리지,B,57,ready_core,준비도 B등급(57점),,코스피 200 에너지/화학,,SK 44.7%|LG화학 25.76%|HD현대 19.23%|SK이노베이션 17.65%|TIGER 200 에너지화학 14.37%|S-Oil 12.52%|한화솔루션 9.75%|GS 7.64%|OCI홀딩스 5.83%|한솔케미칼 5.46%,strategy.leverage|asset.equity|region.domestic_kr|strategy.passive_index|sector.energy_chemicals,레버리지|주식|국내|지수추종(패시브)|에너지/화학,,운용사|상품 설명·투자 목적|산업·국가 비중|분배 일정|실제 분배금 이력,,,,,
21,244580,KODEX 바이오,B,71,ready_core,준비도 B등급(71점),삼성자산운용(주),FnGuide 바이오 지수,"국내주식형, 시장테마",파마리서치 2.74%|씨어스 2.69%|한미사이언스 2.65%|삼성바이오로직스 2.58%|셀트리온 2.53%|한올바이오파마 2.49%|올릭스 2.45%|에스티팜 2.43%|동국제약 2.42%|클래시스 2.42%,sector.healthcare_bio_pharma|asset.equity|region.domestic_kr|strategy.passive_index,의료/제약/바이오|주식|국내|지수추종(패시브),,상품 설명·투자 목적|산업·국가 비중|실제 분배금 이력,,,,,
22,252400,RISE 200선물레버리지,B,57,ready_core,준비도 B등급(57점),,코스피 200 선물지수,,RISE 200 12.54%|RISE 200TR 9.78%|TIGER 200선물레버리지 6.42%,strategy.leverage|asset.equity|region.domestic_kr|strategy.passive_index,레버리지|주식|국내|지수추종(패시브),,운용사|상품 설명·투자 목적|산업·국가 비중|분배 일정|실제 분배금 이력,,,,,
23,252410,RISE 200선물인버스,B,57,ready_core,준비도 B등급(57점),,코스피 200 선물지수,,RISE 200선물인버스2X 0.64%,strategy.inverse|asset.equity|region.domestic_kr|strategy.passive_index,인버스|주식|국내|지수추종(패시브),,운용사|상품 설명·투자 목적|산업·국가 비중|분배 일정|실제 분배금 이력,,,,,
24,252420,RISE 200선물인버스2X,B,57,ready_core,준비도 B등급(57점),,코스피 200 선물지수,,RISE 200선물인버스 14.39%|TIGER 200선물인버스2X 11.26%,strategy.leverage|strategy.inverse|asset.equity|region.domestic_kr|strategy.passive_index,레버리지|인버스|주식|국내|지수추종(패시브),,운용사|상품 설명·투자 목적|산업·국가 비중|분배 일정|실제 분배금 이력,,,,,
25,252670,KODEX 200선물인버스2X,B,57,ready_core,준비도 B등급(57점),,코스피 200 선물지수,,KODEX 인버스 24.11%,strategy.leverage|strategy.inverse|asset.equity|region.domestic_kr|strategy.passive_index,레버리지|인버스|주식|국내|지수추종(패시브),,운용사|상품 설명·투자 목적|산업·국가 비중|분배 일정|실제 분배금 이력,,,,,
26,252710,TIGER 200선물인버스2X,B,57,ready_core,준비도 B등급(57점),,코스피 200 선물지수,,TIGER 인버스 35.62%,strategy.leverage|strategy.inverse|asset.equity|region.domestic_kr|strategy.passive_index,레버리지|인버스|주식|국내|지수추종(패시브),,운용사|상품 설명·투자 목적|산업·국가 비중|분배 일정|실제 분배금 이력,,,,,
27,253150,PLUS 200선물레버리지,B,57,ready_core,준비도 B등급(57점),,코스피 200 선물지수,,PLUS 200TR 5.6%|ACE 레버리지 4.73%|TIGER 레버리지 3.98%|KODEX 레버리지 0.43%,strategy.leverage|asset.equity|region.domestic_kr|strategy.passive_index,레버리지|주식|국내|지수추종(패시브),,운용사|상품 설명·투자 목적|산업·국가 비중|분배 일정|실제 분배금 이력,,,,,
28,253160,PLUS 200선물인버스2X,B,57,ready_core,준비도 B등급(57점),,코스피 200 선물지수,,KODEX 200선물인버스2X 13.35%|TIGER 200선물인버스2X 6.37%,strategy.leverage|strategy.inverse|asset.equity|region.domestic_kr|strategy.passive_index,레버리지|인버스|주식|국내|지수추종(패시브),,운용사|상품 설명·투자 목적|산업·국가 비중|분배 일정|실제 분배금 이력,,,,,
29,253230,KIWOOM 200선물인버스2X,B,57,ready_core,준비도 B등급(57점),,코스피 200 선물지수,,KODEX 200선물인버스2X 11.39%|KIWOOM 200선물인버스 2.32%,strategy.leverage|strategy.inverse|asset.equity|region.domestic_kr|strategy.passive_index,레버리지|인버스|주식|국내|지수추종(패시브),,운용사|상품 설명·투자 목적|산업·국가 비중|분배 일정|실제 분배금 이력,,,,,
30,253240,KIWOOM 200선물인버스,B,57,ready_core,준비도 B등급(57점),,코스피 200 선물지수,,KODEX 인버스 6.36%,strategy.inverse|asset.equity|region.domestic_kr|strategy.passive_index,인버스|주식|국내|지수추종(패시브),,운용사|상품 설명·투자 목적|산업·국가 비중|분배 일정|실제 분배금 이력,,,,,
31,253250,KIWOOM 200선물레버리지,B,57,ready_core,준비도 B등급(57점),,코스피 200 선물지수,,KIWOOM 200 19.76%,strategy.leverage|asset.equity|region.domestic_kr|strategy.passive_index,레버리지|주식|국내|지수추종(패시브),,운용사|상품 설명·투자 목적|산업·국가 비중|분배 일정|실제 분배금 이력,,,,,
32,261110,TIGER 미국달러선물레버리지,B,57,ready_core,준비도 B등급(57점),,미국달러선물지수,,TIGER 미국달러SOFR금리액티브(합성) 6.89%|TIGER 미국달러단기채권액티브 6.03%,strategy.leverage|asset.currency|region.us|strategy.passive_index,레버리지|통화/환|미국|지수추종(패시브),,운용사|상품 설명·투자 목적|산업·국가 비중|분배 일정|실제 분배금 이력,,,,,
33,261120,TIGER 미국달러선물인버스2X,B,57,ready_core,준비도 B등급(57점),,미국달러선물지수,,KIWOOM 미국달러선물인버스2X 4.5%|KIWOOM 미국달러선물인버스 2.01%,strategy.leverage|strategy.inverse|asset.currency|region.us|strategy.passive_index,레버리지|인버스|통화/환|미국|지수추종(패시브),,운용사|상품 설명·투자 목적|산업·국가 비중|분배 일정|실제 분배금 이력,,,,,
34,261250,KODEX 미국달러선물레버리지,B,57,ready_core,준비도 B등급(57점),,미국달러선물지수,,KODEX 미국달러선물 20.08%|KODEX 미국달러SOFR금리액티브(합성) 16.83%|키움 미국달러선물 ETN B 7.94%|KIWOOM 미국달러선물 0.64%,strategy.leverage|asset.currency|region.us|strategy.passive_index,레버리지|통화/환|미국|지수추종(패시브),,운용사|상품 설명·투자 목적|산업·국가 비중|분배 일정|실제 분배금 이력,,,,,
35,261260,KODEX 미국달러선물인버스2X,B,57,ready_core,준비도 B등급(57점),,미국달러선물지수,,KODEX 미국달러선물인버스 13.33%|키움 인버스 미국달러선물 ETN 7.19%|KIWOOM 미국달러선물인버스2X 1.01%|KIWOOM 미국달러선물인버스 0.98%|RISE 미국달러선물인버스 0.8%,strategy.leverage|strategy.inverse|asset.currency|region.us|strategy.passive_index,레버리지|인버스|통화/환|미국|지수추종(패시브),,운용사|상품 설명·투자 목적|산업·국가 비중|분배 일정|실제 분배금 이력,,,,,
36,267770,TIGER 200선물레버리지,B,57,ready_core,준비도 B등급(57점),,코스피 200 선물지수,,TIGER 200 16.93%|TIGER 레버리지 5.5%|RISE 200선물레버리지 4.41%,strategy.leverage|asset.equity|region.domestic_kr|strategy.passive_index,레버리지|주식|국내|지수추종(패시브),,운용사|상품 설명·투자 목적|산업·국가 비중|분배 일정|실제 분배금 이력,,,,,
37,278240,RISE 코스닥150선물레버리지,B,57,ready_core,준비도 B등급(57점),,F-코스닥150 지수,,RISE 코스닥150 32.94%|KODEX 코스닥150레버리지 3.92%|PLUS 코스닥150 0.89%,strategy.leverage|asset.equity|region.domestic_kr|strategy.passive_index,레버리지|주식|국내|지수추종(패시브),,운용사|상품 설명·투자 목적|산업·국가 비중|분배 일정|실제 분배금 이력,,,,,
38,289480,TIGER 200커버드콜,B,57,ready_core,준비도 B등급(57점),,코스피 200 커버드콜 ATM 지수,,삼성전자 23.31%|SK하이닉스 20.09%|TIGER 200 19.99%|SK스퀘어 2.14%|삼성전기 1.47%|현대차 1.21%|KB금융 1.13%|신한지주 0.89%|삼성물산 0.7%|기아 0.69%,dividend.covered_call|asset.equity|region.domestic_kr|strategy.passive_index,커버드콜 배당|주식|국내|지수추종(패시브),,운용사|상품 설명·투자 목적|산업·국가 비중|분배 일정|실제 분배금 이력,,,,,
39,290080,RISE 200고배당커버드콜ATM,B,57,ready_core,준비도 B등급(57점),,코스피 200 고배당커버드콜 ATM 지수(시장가격지수),,DB손해보험 3.07%|미스토홀딩스 2.86%|삼성카드 2.81%|기업은행 2.8%|JB금융지주 2.71%|제일기획 2.7%|강원랜드 2.61%|BNK금융지주 2.55%|LG유플러스 2.53%|우리금융지주 2.51%,dividend.covered_call|asset.equity|region.domestic_kr|strategy.passive_index,커버드콜 배당|주식|국내|지수추종(패시브),,운용사|상품 설명·투자 목적|산업·국가 비중|분배 일정|실제 분배금 이력,,,,,
40,291630,KIWOOM 코스닥150선물레버리지,B,57,ready_core,준비도 B등급(57점),,F-코스닥150 지수,,KIWOOM 코스닥150 20.66%,strategy.leverage|asset.equity|region.domestic_kr|strategy.passive_index,레버리지|주식|국내|지수추종(패시브),,운용사|상품 설명·투자 목적|산업·국가 비중|분배 일정|실제 분배금 이력,,,,,
41,304780,HANARO 200선물레버리지,B,57,ready_core,준비도 B등급(57점),,코스피 200 선물지수,,TIGER 200선물레버리지 12.22%|HANARO 200TR 8.94%|HANARO 200 7.55%,strategy.leverage|asset.equity|region.domestic_kr|strategy.passive_index,레버리지|주식|국내|지수추종(패시브),,운용사|상품 설명·투자 목적|산업·국가 비중|분배 일정|실제 분배금 이력,,,,,
42,306530,HANARO 코스닥150선물레버리지,B,57,ready_core,준비도 B등급(57점),,F-코스닥150 지수,,HANARO 코스닥150 17.25%|KODEX 코스닥150레버리지 2.03%,strategy.leverage|asset.equity|region.domestic_kr|strategy.passive_index,레버리지|주식|국내|지수추종(패시브),,운용사|상품 설명·투자 목적|산업·국가 비중|분배 일정|실제 분배금 이력,,,,,
43,306950,KODEX KRX300레버리지,B,57,ready_core,준비도 B등급(57점),,KRX 300,,KODEX KRX300 25.14%|삼성전자 22.82%|SK하이닉스 19.64%|SK스퀘어 2.06%|삼성전기 1.38%|현대차 1.17%|KB금융 1.09%|신한지주 0.86%|기아 0.67%|삼성물산 0.67%,strategy.leverage|asset.equity|region.domestic_kr|strategy.passive_index,레버리지|주식|국내|지수추종(패시브),,운용사|상품 설명·투자 목적|산업·국가 비중|분배 일정|실제 분배금 이력,,,,,
44,364690,KODEX 혁신기술테마액티브,B,57,ready_core,준비도 B등급(57점),,코스피,,삼성전자 24.28%|SK하이닉스 20.45%|삼성전기 6.66%|SK스퀘어 5.32%|LG이노텍 3.88%|한화에어로스페이스 3.76%|HD현대일렉트릭 2.05%|삼성바이오로직스 1.91%|현대차 1.74%|한국항공우주 1.71%,sector.tech_general|strategy.active|asset.equity|region.domestic_kr,테크/기술|액티브|주식|국내,sector.tech_general,운용사|상품 설명·투자 목적|산업·국가 비중|분배 일정|실제 분배금 이력,,,,,
45,365040,TIGER AI코리아그로스액티브,B,57,ready_core,준비도 B등급(57점),,코스피,,삼성전자 27.21%|SK하이닉스 24.12%|SK스퀘어 2.79%|현대차 1.7%|삼성전기 1.55%|KB금융 1.55%|삼성바이오로직스 1.41%|LG에너지솔루션 1.32%|한화에어로스페이스 1.26%|두산에너빌리티 1.24%,sector.semiconductor|strategy.growth|strategy.active|asset.equity|region.domestic_kr,반도체|성장주|액티브|주식|국내,,운용사|상품 설명·투자 목적|산업·국가 비중|분배 일정|실제 분배금 이력,,,,,
46,373490,KODEX 코리아혁신성장액티브,B,57,ready_core,준비도 B등급(57점),,FnGuide K-이노베이션 지수,,기아 10.11%|삼성SDI 9.64%|삼성전자 9.04%|현대차 8.87%|SK하이닉스 8.47%|삼성전기 6.86%|LG에너지솔루션 4.9%|이수페타시스 2.32%|서진시스템 2.3%|비나텍 2.13%,strategy.growth|strategy.active|asset.equity|region.domestic_kr,성장주|액티브|주식|국내,strategy.growth,운용사|상품 설명·투자 목적|산업·국가 비중|분배 일정|실제 분배금 이력,,,,,
47,385510,KODEX 신재생에너지액티브,B,57,ready_core,준비도 B등급(57점),,FnGuide K-신재생에너지 플러스 지수,,SK이터닉스 7.16%|삼성SDI 6.54%|OCI홀딩스 6.5%|HD현대에너지솔루션 6.3%|한화솔루션 5.66%|서진시스템 4.89%|씨에스윈드 4.85%|SK오션플랜트 3.88%|비나텍 3.57%|LS ELECTRIC 3.53%,sector.clean_energy|strategy.active|asset.equity|region.domestic_kr,클린에너지|액티브|주식|국내,,운용사|상품 설명·투자 목적|산업·국가 비중|분배 일정|실제 분배금 이력,,,,,
48,385520,KODEX 자율주행액티브,B,57,ready_core,준비도 B등급(57점),,FnGuide K-미래차 지수,,한국타이어앤테크놀로지 5.99%|삼성전기 5.34%|현대모비스 5.08%|HL만도 4.93%|테스 4.84%|현대차 4.79%|SK하이닉스 4.63%|삼성SDI 4.03%|현대오토에버 3.85%|LG에너지솔루션 3.79%,sector.autonomous_mobility|strategy.active|asset.equity|region.domestic_kr,자율주행/모빌리티|액티브|주식|국내,sector.autonomous_mobility,운용사|상품 설명·투자 목적|산업·국가 비중|분배 일정|실제 분배금 이력,,,,,
49,385590,ACE ESG액티브,B,57,ready_core,준비도 B등급(57점),,MSCI Korea Country ESG Leaders Custom Capped Price return Index,,삼성전자 23.83%|SK하이닉스 16.75%|SK스퀘어 6.63%|KB금융 6.35%|삼성전기 5.27%|신한지주 4.52%|두산에너빌리티 4.11%|하나금융지주 3.83%|삼성물산 3.83%|SK 3.18%,strategy.active|asset.equity|region.domestic_kr|strategy.esg_screening,액티브|주식|국내|ESG/탄소효율,strategy.esg_screening,운용사|상품 설명·투자 목적|산업·국가 비중|분배 일정|실제 분배금 이력,,,,,
50,385600,ACE 2차전지&친환경차액티브,B,57,ready_core,준비도 B등급(57점),,FnGuide 친환경 자동차 밸류체인 지수,,기아 8.84%|삼성SDI 8.5%|POSCO홀딩스 8.27%|LG에너지솔루션 8.23%|현대모비스 8.15%|LG화학 7.92%|LG전자 7.9%|현대차 7.16%|삼성전기 6.81%|에코프로비엠 4.41%,sector.ev_battery|strategy.active|asset.equity|region.domestic_kr,전기차/2차전지|액티브|주식|국내,,운용사|상품 설명·투자 목적|산업·국가 비중|분배 일정|실제 분배금 이력,,,,,
51,385710,TIME K이노베이션액티브,B,57,ready_core,준비도 B등급(57점),,KRX BBIG 지수,,삼성SDI 10.98%|알테오젠 10.24%|LG에너지솔루션 9.35%|SK하이닉스 7.67%|POSCO홀딩스 7.06%|NAVER 6.6%|삼성바이오로직스 5.17%|삼성전자 4.73%|셀트리온 4.03%|피에스케이 2.56%,sector.ev_battery|sector.healthcare_bio_pharma|strategy.active|asset.equity|region.domestic_kr,전기차/2차전지|의료/제약/바이오|액티브|주식|국내,sector.ev_battery|sector.healthcare_bio_pharma,운용사|상품 설명·투자 목적|산업·국가 비중|분배 일정|실제 분배금 이력,,,,,
52,385720,TIME 코스피액티브,B,57,ready_core,준비도 B등급(57점),,코스피,,SK하이닉스 24.23%|삼성전자 21.67%|삼양식품 4.72%|KB금융 4.24%|에이피알 3.63%|삼성SDI 3.62%|SK스퀘어 3.59%|두산 2.53%|신세계 2.28%|SK 2.25%,strategy.active|asset.equity|region.domestic_kr,액티브|주식|국내,,운용사|상품 설명·투자 목적|산업·국가 비중|분배 일정|실제 분배금 이력,,,,,
53,387280,TIGER 퓨처모빌리티액티브,B,57,ready_core,준비도 B등급(57점),,FnGuide 퓨처모빌리티 지수,,현대모비스 8.85%|삼성SDI 8.38%|LG에너지솔루션 7.45%|삼성전기 7.02%|SK하이닉스 6.7%|현대차 6.04%|현대오토에버 5.96%|로보티즈 5.79%|현대글로비스 5.62%|엘앤에프 3.22%,sector.ev_battery|sector.autonomous_mobility|strategy.active|asset.equity|region.domestic_kr,전기차/2차전지|자율주행/모빌리티|액티브|주식|국내,sector.autonomous_mobility,운용사|상품 설명·투자 목적|산업·국가 비중|분배 일정|실제 분배금 이력,,,,,
54,388420,RISE 비메모리반도체액티브,B,57,ready_core,준비도 B등급(57점),,iSelect 비메모리반도체 지수(시장가격지수),,삼성전자 24.72%|SK하이닉스 17.21%|심텍 6.86%|브이엠 6.67%|피에스케이 5.81%|삼성전기 4.94%|원익QnC 4.31%|대덕전자 4.27%|네패스아크 4.09%|리노공업 4%,sector.semiconductor|strategy.active|asset.equity|region.domestic_kr,반도체|액티브|주식|국내,,운용사|상품 설명·투자 목적|산업·국가 비중|분배 일정|실제 분배금 이력,,,,,
55,391670,HK 베스트일레븐액티브,B,57,ready_core,준비도 B등급(57점),,코스피 200,,삼성전자 25.92%|SK하이닉스 21.6%|삼성물산 8.96%|SK스퀘어 8.52%|현대오토에버 8.28%|삼성전기 8%|한화솔루션 4.16%|SK 3.87%|한국전력 3.59%|현대모비스 3.54%,strategy.active|asset.equity|region.domestic_kr,액티브|주식|국내,,운용사|상품 설명·투자 목적|산업·국가 비중|분배 일정|실제 분배금 이력,,,,,
56,395750,PLUS ESG가치주액티브,B,57,ready_core,준비도 B등급(57점),,FnGuide 한화 ESG 가치 지수,,삼성전자 24.95%|SK하이닉스 20.09%|KB금융 2.9%|신한지주 2.72%|SK스퀘어 2.6%|현대차 2.42%|SK 2.21%|현대모비스 2.04%|S-Oil 1.97%|삼성전기 1.75%,strategy.value|strategy.active|asset.equity|region.domestic_kr,가치주|액티브|주식|국내,strategy.value,운용사|상품 설명·투자 목적|산업·국가 비중|분배 일정|실제 분배금 이력,,,,,
57,395760,PLUS ESG성장주액티브,B,57,ready_core,준비도 B등급(57점),,FnGuide 한화 ESG 성장 지수,,삼성전자 26.33%|SK하이닉스 15.74%|SK스퀘어 5.17%|삼성전기 4.03%|에이피알 2.45%|삼성중공업 2.4%|알테오젠 2.01%|두산에너빌리티 1.84%|한전기술 1.54%|현대차 1.22%,strategy.growth|strategy.active|asset.equity|region.domestic_kr,성장주|액티브|주식|국내,strategy.growth,운용사|상품 설명·투자 목적|산업·국가 비중|분배 일정|실제 분배금 이력,,,,,
